EVENT_ID,EPISODE_ID,EVENT_TYPE,STATE,STATE_FIPS,YEAR,MONTH_NAME,BEGIN_DATE_TIME,END_DATE_TIME,CZ_NAME,WFO,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,MAGNITUDE,MAGNITUDE_TYPE,TOR_F_SCALE,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,SOURCE,EVENT_NARRATIVE
700000,150000,Dust Devil,COLORADO,8,2018,October,15-OCT-18 23:45:05,16-OCT-18 01:00:05,MIAMI-DADE,DDC,4,0,0,0,147.37K,148.13K,,,,27.0865,-99.9505,26.8984,-100.063,Trained Spotter,dust devil produced damaging conditions; multiple reports received.
700001,150000,Heavy Snow,TENNESSEE,47,2023,September,30-SEP-23 08:49:21,30-SEP-23 11:13:21,MONTGOMERY,MEG,0,0,0,0,13.91K,0.00K,,,,45.8632,-80.748,45.7271,-80.779,Emergency Manager,Trained spotters confirmed heavy snow in Tennessee; emergency services responded.
700002,150000,Flash Flood,CALIFORNIA,6,2021,February,07-FEB-21 13:27:43,07-FEB-21 15:03:43,BROWARD,FFC,0,0,0,0,40.36K,0.00K,,,,42.5136,-93.435,42.7028,-93.4836,Newspaper,flash flood produced damaging conditions; multiple reports received.
700003,150000,Heavy Snow,TENNESSEE,47,2018,January,18-JAN-18 19:06:51,18-JAN-18 22:00:51,TRAVIS,MEG,0,0,0,0,3.99K,0.00K,,,,30.587,-118.2429,30.4982,-118.1886,Newspaper,Trained spotters confirmed heavy snow in Tennessee; emergency services responded.
700004,150001,Heavy Snow,PENNSYLVANIA,42,2020,September,29-SEP-20 13:26:21,29-SEP-20 16:25:21,COOK,GID,0,0,0,0,8.56K,0.00K,,,,42.499,-114.6861,42.4508,-114.4903,Emergency Manager,Trained spotters confirmed heavy snow in Pennsylvania; emergency services responded.
700005,150001,Marine High Wind,VIRGINIA,51,2018,March,30-MAR-18 22:52:57,31-MAR-18 02:27:57,MONTGOMERY,MEG,6,0,4,0,16.46M,1.34M,80,MG,,40.7305,-101.449,40.8963,-101.4655,Emergency Manager,marine high wind produced damaging conditions; multiple reports received.
700006,150001,Excessive Heat,IOWA,19,2023,August,16-AUG-23 00:44:10,16-AUG-23 02:38:10,MADISON,MEG,0,0,0,0,10.97K,0.00K,,,,48.9409,-94.957,48.7773,-95.1382,Law Enforcement,Storm survey confirmed excessive heat with widespread effects across the county.
700007,150001,Funnel Cloud,CALIFORNIA,6,2021,May,29-MAY-21 04:56:58,29-MAY-21 07:33:58,BROWARD,OAX,0,0,0,0,48.55K,0.00K,,,,45.6587,-123.3456,45.747,-123.2729,Broadcast Media,Trained spotters confirmed funnel cloud in California; emergency services responded.
700008,150002,Flash Flood,KANSAS,20,2021,March,03-MAR-21 10:08:13,03-MAR-21 12:09:13,MIAMI-DADE,DDC,16,0,1,0,36.38M,3.60M,,,,37.1844,-117.9346,37.2345,-117.7979,Emergency Manager,Severe flash flood affected the area; residents reported significant impacts.
700009,150002,Heavy Rain,VIRGINIA,51,2019,July,29-JUL-19 11:22:36,29-JUL-19 14:46:36,DALLAS,TBW,0,0,0,0,29.95K,0.00K,,,,36.7265,-117.6235,36.6717,-117.4294,Trained Spotter,Severe heavy rain affected the area; residents reported significant impacts.
